date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,1948.0,1974.0,1852.0,1892.0,-0.94,229050,434236761.5
2026-02-11,1933.0,2011.0,1896.0,1910.0,-1.19,143236,274991976.1
2026-02-10,1939.0,2014.9,1918.0,1933.0,-0.31,162032,318325898.0
2026-02-09,2020.0,2050.0,1900.0,1939.0,-3.97,273774,540474871.0
2026-02-08,2115.0,2155.0,2019.1,2019.1,-4.53,202578,424156406.5
2026-02-05,2075.0,2150.0,2075.0,2115.0,1.93,255450,537410767.7
2026-02-04,2171.4,2171.4,2045.0,2075.0,-2.53,286844,603059715.6
2026-02-03,2071.3,2233.0,2071.3,2128.9,4.84,273987,592908411.5
2026-02-02,1855.0,2030.7,1855.0,2030.7,10.0,194676,385003033.7
2026-02-01,1920.0,2010.0,1822.1,1846.1,-4.84,284858,536486965.5
2026-01-29,2174.6,2210.0,1940.0,1940.0,-9.01,254144,522954989.0
2026-01-28,2055.3,2159.9,2022.7,2132.0,5.81,237756,498804873.3
2026-01-27,2110.0,2255.9,1881.0,2015.0,-2.64,274221,576838791.9
2026-01-26,1919.1,2069.6,1881.5,2069.6,10.0,251200,501708813.6
2026-01-25,1744.7,1881.5,1744.7,1881.5,10.0,128089,237396362.7
2026-01-22,1550.0,1710.5,1540.0,1710.5,10.0,202436,329578570.7
2026-01-21,1565.0,1588.0,1525.0,1555.0,-0.32,151540,235428594.7
2026-01-20,1509.5,1588.0,1509.5,1560.0,5.41,172385,268728600.7
2026-01-18,1385.0,1500.0,1370.0,1480.0,6.86,258416,373962149.6
2026-01-14,1410.1,1439.9,1365.0,1383.0,-1.92,157437,220185276.1
2026-01-13,1411.4,1502.0,1377.9,1410.1,1.9,242010,348154526.1
2026-01-12,1232.9,1383.8,1209.0,1383.8,10.0,318411,422248843.7
2026-01-08,1190.0,1295.0,1169.0,1258.0,5.71,161155,200632769.5
2026-01-07,1326.0,1326.0,1190.0,1190.1,-8.45,217502,269497282.7
2026-01-06,1257.7,1356.4,1255.0,1300.0,5.43,188305,248836986.7
2026-01-05,1098.6,1233.1,1098.6,1233.1,10.0,146092,175140756.1
2026-01-04,1034.9,1144.0,995.0,1121.0,6.16,290504,306585076.9
2026-01-01,987.0,1064.8,973.0,1056.0,9.09,226280,234111465.5
2025-12-31,870.0,968.0,870.0,968.0,10.0,96982,92354539.9
2025-12-29,800.0,880.0,800.0,880.0,10.0,271908,230241936.9
2025-12-28,798.7,805.0,781.7,800.0,-1.84,238510,189260777.9
2025-12-24,806.0,840.0,791.1,815.0,1.12,179261,144935383.2
2025-12-23,768.2,816.0,766.0,806.0,7.01,391371,309817308.5
2025-12-22,676.7,753.2,676.7,753.2,9.99,64350,48465144.0
2025-12-21,635.0,684.8,635.0,684.8,9.99,1840,1258313.0
2025-12-18,577.2,622.6,577.2,622.6,10.0,1070,664611.0
2025-12-17,524.8,566.0,524.8,566.0,9.99,640,360815.0
2025-12-16,461.8,514.6,461.8,514.6,9.98,560,286427.0
2025-12-15,433.9,467.9,433.9,467.9,9.99,460,214398.0
2025-12-14,379.5,425.4,379.5,425.4,9.98,500,210646.0
2025-12-11,358.7,386.8,358.7,386.8,9.98,320,122242.0
2025-12-10,319.8,351.7,319.8,351.7,9.97,300,102647.0
2026-02-17,1965.0,1980.0,1901.0,1906.0,-2.76,145770,283268419.6
2026-02-16,1892.0,1979.9,1892.0,1960.0,3.59,177335,344211045.6
2026-02-24,1780.0,1875.0,1780.0,1871.1,5.71,207908,377291320.3
2026-02-23,1788.0,1887.0,1762.0,1770.0,-2.85,159678,287886070.0
2026-02-22,1870.0,1938.0,1818.0,1822.0,-4.41,170423,317780938.7
